ref,value,footprint,Element14 Order Code,Mftr. & Part No.
C1,0.1uf,SM0402,1833861,AVX - 0402YC104KAT2A
C2,0.1uf,SM0402,1833861,AVX - 0402YC104KAT2A
C3,0.1uf,SM0402,1833861,AVX - 0402YC104KAT2A
C4,0.1uf,SM0402,1833861,AVX - 0402YC104KAT2A
C5,0.1uf,SM0402,1833861,AVX - 0402YC104KAT2A
C6,10uf,SM0603,1867954,AVX - 0603ZD106MAT2A
C7,2.2uf,SM0603,1844259,TDK - C1608Y5V1A225Z
C8,10uf,SM0603,1867954,AVX - 0603ZD106MAT2A
D1,LED,LED-0603,1226390,OSRAM - LSQ976-Z
P1,RPi GPIO,
P2,STEP/DIR,
P3,3.3v DIGITAL/ANALOG IO,
P4,5v IO,
P5,ICSP,
P6,RPi GPIO,
P7,5v RPi,
P8,5v INP,
R1,1K,SM0402,195030,YAGEO (PHYCOMP) - 2322 705 70102
R2,2K2,SM0402,1174156,TE CONNECTIVITY / NEOHM - CRG0402J2K2
R3,2K2,SM0402,1174156,TE CONNECTIVITY / NEOHM - CRG0402J2K2
R4,2K2,SM0402,1174156,TE CONNECTIVITY / NEOHM - CRG0402J2K2
R5,2K2,SM0402,1174156,TE CONNECTIVITY / NEOHM - CRG0402J2K2
R6,2K2,SM0402,1174156,TE CONNECTIVITY / NEOHM - CRG0402J2K2
R7,2K2,SM0402,1174156,TE CONNECTIVITY / NEOHM - CRG0402J2K2
R8,2K2,SM0402,1174156,TE CONNECTIVITY / NEOHM - CRG0402J2K2
R9,2K2,SM0402,1174156,TE CONNECTIVITY / NEOHM - CRG0402J2K2
R10,1K,SM0402,195030,YAGEO (PHYCOMP) - 2322 705 70102
U1,PIC32MX764F128H,TQFP_64,1971889,MICROCHIP - PIC32MX764F128H-I/PT
U2,LP2985LV,SOT23-5,2126531,TEXAS INSTRUMENTS - LP2985-33DBVR
X1,8Mhz,resonators-CSTCC,1170435,MURATA - CSTCC8M00G53-R0
